gross_exposure_target,min_adv_jpy,strategy,annualized_net_return,annualized_volatility,IR,max_drawdown,constrained_days
0.5,0,scale_down,0.16779925018334144,0.03780492283387329,4.438555553219989,-0.03458849091345695,1884
0.5,0,clip_by_name,0.19542719202840664,0.040079191240768405,4.87602633632035,-0.04568275371893016,1884
0.5,0,skip_illiquid,0.21074450063128722,0.04203653878925031,5.01336472272021,-0.054095544308775736,5
0.5,500000,scale_down,0.16779925018334144,0.03780492283387329,4.438555553219989,-0.03458849091345695,1884
0.5,500000,clip_by_name,0.19542719202840664,0.040079191240768405,4.87602633632035,-0.04568275371893016,1884
0.5,500000,skip_illiquid,0.1636610289691905,0.03593852588417786,4.5539160258446545,-0.05604706850265352,2431
0.5,1000000,scale_down,0.16779925018334144,0.03780492283387329,4.438555553219989,-0.03458849091345695,1884
0.5,1000000,clip_by_name,0.19542719202840664,0.040079191240768405,4.87602633632035,-0.04568275371893016,1884
0.5,1000000,skip_illiquid,0.13309689011721623,0.03264596230690042,4.0769786127298,-0.04215277214120737,2897
0.5,3000000,scale_down,0.16779925018334144,0.03780492283387329,4.438555553219989,-0.03458849091345695,1884
0.5,3000000,clip_by_name,0.19542719202840664,0.040079191240768405,4.87602633632035,-0.04568275371893016,1884
0.5,3000000,skip_illiquid,0.0733517176724899,0.022743004097034288,3.2252431279320324,-0.026071662753798734,3430
1.0,0,scale_down,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788,2479
1.0,0,clip_by_name,0.35396286002630734,0.07375227810708875,4.799348157250833,-0.09788983850791376,2479
1.0,0,skip_illiquid,0.41639946281538825,0.08310596251772524,5.010464354186098,-0.1021666451926179,5
1.0,500000,scale_down,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788,2479
1.0,500000,clip_by_name,0.35396286002630734,0.07375227810708875,4.799348157250833,-0.09788983850791376,2479
1.0,500000,skip_illiquid,0.32533926800777413,0.07136881540198589,4.558563374988025,-0.10539819361860132,2431
1.0,1000000,scale_down,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788,2479
1.0,1000000,clip_by_name,0.35396286002630734,0.07375227810708875,4.799348157250833,-0.09788983850791376,2479
1.0,1000000,skip_illiquid,0.2638874463711448,0.06470605967524856,4.078249358646812,-0.0840905821914948,2897
1.0,3000000,scale_down,0.2676532565026252,0.06318188463240708,4.236234136728192,-0.05398122911857788,2479
1.0,3000000,clip_by_name,0.35396286002630734,0.07375227810708875,4.799348157250833,-0.09788983850791376,2479
1.0,3000000,skip_illiquid,0.14465746930733916,0.045198929898289664,3.200462259457453,-0.05259218351322332,3430
1.5,0,scale_down,0.3410684342160461,0.08080592928710308,4.220834253439888,-0.0695760431177051,2789
1.5,0,clip_by_name,0.4916463576764034,0.10265746726001738,4.789192357835306,-0.15359784682313596,2789
1.5,0,skip_illiquid,0.6275537569309542,0.12453044293029202,5.039360193091402,-0.15381152770720713,5
1.5,500000,scale_down,0.3410684342160461,0.08080592928710308,4.220834253439888,-0.0695760431177051,2789
1.5,500000,clip_by_name,0.4916463576764034,0.10265746726001738,4.789192357835306,-0.15359784682313596,2789
1.5,500000,skip_illiquid,0.4898643084452056,0.10686869628340279,4.583796055171713,-0.15648705181221093,2431
1.5,1000000,scale_down,0.3410684342160461,0.08080592928710308,4.220834253439888,-0.0695760431177051,2789
1.5,1000000,clip_by_name,0.4916463576764034,0.10265746726001738,4.789192357835306,-0.15359784682313596,2789
1.5,1000000,skip_illiquid,0.39810693279378556,0.09715297419731114,4.097732839194991,-0.12206009362808944,2897
1.5,3000000,scale_down,0.3410684342160461,0.08080592928710308,4.220834253439888,-0.0695760431177051,2789
1.5,3000000,clip_by_name,0.4916463576764034,0.10265746726001738,4.789192357835306,-0.15359784682313596,2789
1.5,3000000,skip_illiquid,0.21769692958156525,0.0672262665288145,3.2382718961234604,-0.07715335794049452,3430
2.0,0,scale_down,0.40023252358544154,0.09815043561454094,4.077745769333573,-0.07642601697624159,2967
2.0,0,clip_by_name,0.6096691212383184,0.1299560413846245,4.691348818743338,-0.1935982497844873,2967
2.0,0,skip_illiquid,0.8358046799493083,0.16570663825387605,5.043881698141673,-0.2012735208638593,5
2.0,500000,scale_down,0.40023252358544154,0.09815043561454094,4.077745769333573,-0.07642601697624159,2967
2.0,500000,clip_by_name,0.6096691212383184,0.1299560413846245,4.691348818743338,-0.1935982497844873,2967
2.0,500000,skip_illiquid,0.65181380988252,0.14185373842747634,4.59497096874725,-0.20588038843897827,2431
2.0,1000000,scale_down,0.40023252358544154,0.09815043561454094,4.077745769333573,-0.07642601697624159,2967
2.0,1000000,clip_by_name,0.6096691212383184,0.1299560413846245,4.691348818743338,-0.1935982497844873,2967
2.0,1000000,skip_illiquid,0.5295737704997281,0.12886315209579874,4.1095826222381655,-0.1602812821507349,2897
2.0,3000000,scale_down,0.40023252358544154,0.09815043561454094,4.077745769333573,-0.07642601697624159,2967
2.0,3000000,clip_by_name,0.6096691212383184,0.1299560413846245,4.691348818743338,-0.1935982497844873,2967
2.0,3000000,skip_illiquid,0.2886563933027563,0.08954128341111972,3.2237241002836616,-0.10495773912546381,3430
