Metric,Sprint 1 Baseline,Sprint 2 Baseline Current,Difference
date range,2009-07-10 ~ 2026-05-28,2009-07-10 ~ 2026-05-28,None
number of days,3999,3999,0
realized return target,entry_to_close,entry_to_close,None
gross return before cost,40.7849%,55.9144%,+15.1295%
spread cost (ann),13.2913%,20.7236%,+7.4322%
financing cost (ann),0.4987%,0.7095%,+0.2107%
borrow cost (ann),0.2295%,0.3266%,+0.0971%
reverse fee (ann),0.0000%,0.0000%,0.0000%
net return (ann),26.7653%,34.1548%,+7.3895%
annual vol,6.3182%,7.3637%,+1.0456%
IR,4.2362,4.6382,+0.4020
max drawdown,-5.3981%,-9.7890%,-4.3909%
average realized gross,0.5780,0.8224,+0.2444
average long exposure,0.2889,0.4110,+0.1221
average short exposure,0.2890,0.4113,+0.1223
rounding loss (avg error),0.002780,0.002793,+0.000014
ADV cap binding days,2479,2479,0
