model,reverse_fee_bps,annualized_net_return,IR,max_drawdown
baseline_current,0,0.34154780718759287,4.6382354415527205,-0.09788983850791376
baseline_current,5,0.28972044769469063,3.9381462618862852,-0.16303968676264408
baseline_current,10,0.23789308820178837,3.2363523216279684,-0.22807576118676598
baseline_current,30,0.030583650230179272,0.41696786315886536,-0.461278796506275
net_alpha_filter,0,0.0,0.0,0.0
net_alpha_filter,5,0.0,0.0,0.0
net_alpha_filter,10,0.0,0.0,0.0
net_alpha_filter,30,0.0,0.0,0.0
net_score_ranking,0,0.0,0.0,0.0
net_score_ranking,5,0.0,0.0,0.0
net_score_ranking,10,0.0,0.0,0.0
net_score_ranking,30,0.0,0.0,0.0
cost_aware_mvo,0,0.4569205448587736,4.852644583601653,-0.1558740971797518
cost_aware_mvo,5,0.395900280973658,4.206841722591504,-0.230419368837172
cost_aware_mvo,10,0.3343690858157112,3.5536000122445115,-0.3059477103138574
cost_aware_mvo,30,0.10588262484931396,1.1335572562913074,-0.5238642044068972
cost_aware_mvo_beta_neutral,0,0.40590565880262364,4.61078346227592,-0.14396664926672176
cost_aware_mvo_beta_neutral,5,0.34458945054429585,3.9140840766112377,-0.22911859524940262
cost_aware_mvo_beta_neutral,10,0.2848859058709437,3.2389255206457923,-0.311655687468548
cost_aware_mvo_beta_neutral,30,0.062179127751368454,0.7126678945482711,-0.5697662462802819
integer_rounded_mvo,0,0.40590565880262364,4.61078346227592,-0.14396664926672176
integer_rounded_mvo,5,0.34458945054429585,3.9140840766112377,-0.22911859524940262
integer_rounded_mvo,10,0.2848859058709437,3.2389255206457923,-0.311655687468548
integer_rounded_mvo,30,0.062179127751368454,0.7126678945482711,-0.5697662462802819
