ticker,signal,vol,score_long,score_short,net_mu_long,net_mu_short,entry_cost_long_bps,entry_cost_short_bps,exit_cost_long_bps,exit_cost_short_bps,financing_bps,borrow_bps,reverse_bps,cost_source,selected_before_lob,weight_before_lob,selected_after_lob,weight_after_lob,skip_reason,scale_reason,scale_factor,quoted_spread_bps,estimated_slippage_bps,order_depth_ratio,shares_to_trade
1617.T,0.00837742504409178,0.015,0.006808931893406848,-0.009908931893406848,0.006808931893406848,-0.009908931893406848,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,0.07970661178888128,True,0.07970661178888128,,,1.0,,,,80
1618.T,-0.024233444929441017,0.015,-0.025801938080125948,0.02270193808012595,-0.025801938080125948,0.02270193808012595,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,-0.12639535331906765,True,-0.12639535331906765,,,1.0,,,,-126
1619.T,-0.0026892223261426595,0.015,-0.004257715476827591,0.001157715476827591,-0.004257715476827591,0.001157715476827591,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,,0
1620.T,0.005300552454422958,0.015,0.0037320593037380263,-0.006832059303738026,0.0037320593037380263,-0.006832059303738026,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,0.0436881741149698,True,0.0436881741149698,,,1.0,,,,44
1621.T,0.00200534759358284,0.015,0.00043685444289790864,-0.0035368544428979088,0.00043685444289790864,-0.0035368544428979088,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,,0
1622.T,0.007048458149779835,0.015,0.0054799649990949035,-0.008579964999094903,0.0054799649990949035,-0.008579964999094903,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,0.06414948036452851,True,0.06414948036452851,,,1.0,,,,64
1623.T,-0.029753320001553285,0.015,-0.03132181315223822,0.028221813152238217,-0.03132181315223822,0.028221813152238217,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,-0.15712782019278898,True,-0.15712782019278898,,,1.0,,,,-157
1624.T,0.00011494252873567312,0.015,-0.0014535506219492584,-0.0016464493780507417,-0.0014535506219492584,-0.0016464493780507417,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,,0
1625.T,-0.010061858090119946,0.015,-0.011630351240804878,0.008530351240804878,-0.011630351240804878,0.008530351240804878,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,,0
1626.T,-0.0018306636155606126,0.015,-0.003399156766245544,0.0002991567662455441,-0.003399156766245544,0.0002991567662455441,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,,0
1627.T,0.004876541228580944,0.015,0.0033080480778960126,-0.006408048077896012,0.0033080480778960126,-0.006408048077896012,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,,0
1628.T,0.010364832715307637,0.015,0.008796339564622705,-0.011896339564622705,0.008796339564622705,-0.011896339564622705,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,0.10297157231363499,True,0.10297157231363499,,,1.0,,,,103
1629.T,-0.010450536920125097,0.015,-0.01201903007081003,0.00891903007081003,-0.01201903007081003,0.00891903007081003,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,-0.04965760866250976,True,-0.04965760866250976,,,1.0,,,,-50
1630.T,0.01946366339854988,0.015,0.01789517024786495,-0.020995170247864948,0.01789517024786495,-0.020995170247864948,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,0.20948416141798548,True,0.20948416141798548,,,1.0,,,,209
1631.T,-0.019659135968190578,0.015,-0.021227629118875508,0.01812762911887551,-0.021227629118875508,0.01812762911887551,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,-0.10092742210953018,True,-0.10092742210953018,,,1.0,,,,-101
1632.T,-0.013366368076841106,0.015,-0.014934861227526039,0.011834861227526038,-0.014934861227526039,0.011834861227526038,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,True,-0.06589179571610342,True,-0.06589179571610342,,,1.0,,,,-66
1633.T,-0.007373181281950414,0.015,-0.008941674432635346,0.005841674432635346,-0.008941674432635346,0.005841674432635346,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,,0
