window_id,year,d,Sharpe_net,AR_net,Vol_net,MDD,Turnover,n_days,elapsed_s
0,2015,0.1,14.158443899066205,2.1914009351627253,0.15477696212839148,-0.01986857316168522,1.6015123950615333,236,232.427336417
0,2015,0.5,13.87000331447642,2.1035919872311784,0.15166485108447048,-0.017145697610206456,1.6323678335959089,236,241.05160825
0,2015,1.0,13.126669859423425,2.0017861110245585,0.15249763515515768,-0.018730952872092477,1.6549252581432436,236,237.718231167
1,2016,0.1,16.552691978595412,3.0541797286843186,0.18451256947412142,-0.008476438903244232,1.6679950457464086,237,232.16295820799996
1,2016,0.5,15.959593182511197,2.929349628485264,0.1835478884070364,-0.011655234476981469,1.6997705189137828,237,239.118215834
1,2016,1.0,14.76200790733422,2.7678933996480546,0.18750114598386577,-0.011063725043484185,1.7203937356263395,237,235.41033270900016
2,2017,0.1,10.1524095157665,1.0921872671758086,0.10757911858063472,-0.02654502094922573,1.6649101943162432,244,231.64320216700003
2,2017,0.5,9.668169746220624,1.0490320629237364,0.1085036868879772,-0.02664939852426007,1.6938212418266032,244,238.20698641700005
2,2017,1.0,9.052066060742032,0.9934404740006972,0.10974737339900292,-0.028162064762374484,1.695470268845856,244,234.7574734169998
3,2018,0.1,6.0504445492835615,0.7508766231450971,0.1241027195652936,-0.05968395112055347,1.690894300109719,251,230.76320608299966
3,2018,0.5,5.804668513355157,0.7281461049358848,0.12544146203363626,-0.056616003183910135,1.7209875109062769,251,238.57807970900012
3,2018,1.0,5.081056883200876,0.6696734247305446,0.13179805700358058,-0.05197287158996766,1.7337092548238755,251,235.09648883399996
4,2019,0.1,7.430067208868586,0.9676072119930944,0.130228594815152,-0.029335962456108255,1.701143776334732,233,231.016068291
4,2019,0.5,7.177832183298653,0.91155327797397,0.1269956241238083,-0.035208497726934795,1.7313140406686465,233,238.23767849999967
4,2019,1.0,6.541543261636873,0.8301427795817449,0.12690320103058073,-0.03667926560780821,1.7536177779656308,233,234.84522858299988
5,2020,0.1,9.459032989699075,1.7103615933929301,0.18081780613890666,-0.03163899745680532,1.6531910336025277,234,231.99960708300023
5,2020,0.5,9.173280664351806,1.700115823300897,0.18533345762631032,-0.0265626843905985,1.7031871900119095,234,238.64197054199985
5,2020,1.0,8.700890566265034,1.6169281270393678,0.1858347849251774,-0.054534808566845006,1.7279624909324227,234,235.61929816599968
6,2021,0.1,6.600711568515417,1.043427016732171,0.15807795961108037,-0.05541305924129314,1.604911405906462,237,231.19127324999954
6,2021,0.5,6.19585136693189,0.9610290203642985,0.15510846911103168,-0.05102134443209638,1.6295386536346814,237,238.67782895900018
6,2021,1.0,5.706385585575403,0.8959058133465422,0.15700057416575777,-0.04939750197044179,1.6373661785771871,237,235.57541941599993
7,2022,0.1,8.34829760024545,1.1567404767516882,0.13856004327369434,-0.030359680607918604,1.6056798938853094,235,231.76891395799976
7,2022,0.5,7.24557306324302,1.0113154426472086,0.13957701258684949,-0.03425997750352572,1.6401769000194748,235,238.14585254099984
7,2022,1.0,6.666677200484308,0.9037249719186959,0.13555853159547665,-0.03809883002734071,1.661457167719518,235,235.53629162500056
8,2023,0.1,4.479270529701917,0.5581390632242524,0.12460490151761276,-0.05544969092755114,1.5788429575309049,238,231.57710716600013
8,2023,0.5,4.070616624117675,0.4944454445651874,0.12146696439937052,-0.052849707809428215,1.6079782031206669,238,238.82376766700054
8,2023,1.0,2.991979571489133,0.3716732248334925,0.12422318266314489,-0.06305437674211467,1.6169970038265775,238,235.46657779199995
9,2024,0.1,7.105267419463691,1.1301609259145915,0.15905959046927703,-0.05833391017590139,1.5602069228954987,236,230.77466316699974
9,2024,0.5,6.85470983562153,1.1042030283721969,0.16108676440745018,-0.055155538158469075,1.6109894216938896,236,238.77259041699926
9,2024,1.0,6.467069134062272,1.0239453720284082,0.15833221368165887,-0.05775841750467625,1.6285825856520515,236,235.8314292920004
10,2025,0.1,7.6976152316112385,1.2980330256541919,0.16862794340819398,-0.033508051776412695,1.585927821367565,231,231.6138077500009
10,2025,0.5,7.128860322665007,1.2271609476803045,0.17213985014950475,-0.04310852192515047,1.6311466474255947,231,238.66438287499932
10,2025,1.0,6.002300610308383,1.0524384087720828,0.17533917027824622,-0.05166638407757196,1.6481987783912369,231,235.5788672919998
11,2026,0.1,8.374987821388455,1.8961525064550666,0.2264065986594726,-0.054901809175747496,1.5630632553611241,126,230.68514762500035
11,2026,0.5,7.871208304795417,1.9321736382625652,0.24547357450639656,-0.053973102307614096,1.6169804054583456,126,237.85185283400097
11,2026,1.0,7.849328548590372,1.9385898622583644,0.24697524766070691,-0.07092332654182132,1.6443262248884656,126,235.0648821249997
