Sharpe_net,AR_net,Vol_net,MDD,n_days,variant,lambda_pca,lambda_sector,rho
8.758260041828642,1.4051831901435656,0.1604409076040835,-0.06601800022252147,2734,sens_lp0.160_ls0.480_rho0.0040,0.16000000000000003,0.48,0.004
8.754322001155172,1.4047702435742246,0.16046590968310953,-0.06603877243661782,2734,sens_lp0.160_ls0.480_rho0.0050,0.16000000000000003,0.48,0.005
8.755122546833167,1.4053352418600378,0.1605157705494784,-0.06578428104030709,2734,sens_lp0.160_ls0.480_rho0.0060,0.16000000000000003,0.48,0.006
8.739311430497152,1.3957112102809328,0.15970494030117602,-0.06417942185236758,2734,sens_lp0.160_ls0.600_rho0.0040,0.16000000000000003,0.6,0.004
8.739803288911956,1.3958264352120004,0.15970913635812176,-0.06418562646234094,2734,sens_lp0.160_ls0.600_rho0.0050,0.16000000000000003,0.6,0.005
8.741165938053298,1.3961208417604256,0.15971791997250984,-0.06398158986078772,2734,sens_lp0.160_ls0.600_rho0.0060,0.16000000000000003,0.6,0.006
8.725088505669792,1.3926269200742358,0.159611781493021,-0.06259081787201093,2734,sens_lp0.160_ls0.720_rho0.0040,0.16000000000000003,0.72,0.004
8.72435254260647,1.3924365958611127,0.1596034306340756,-0.06260034550238236,2734,sens_lp0.160_ls0.720_rho0.0050,0.16000000000000003,0.72,0.005
8.72503232914155,1.392191923300898,0.15956295298196044,-0.06260985889695192,2734,sens_lp0.160_ls0.720_rho0.0060,0.16000000000000003,0.72,0.006
8.756261225016484,1.406530162617392,0.16063136154492058,-0.0656694681736536,2734,sens_lp0.200_ls0.480_rho0.0040,0.2,0.48,0.004
8.759118833592924,1.4066563832431178,0.16059336674921193,-0.06567291953047594,2734,sens_lp0.200_ls0.480_rho0.0050,0.2,0.48,0.005
8.758706011231824,1.4065798584985534,0.16059219897263477,-0.06567639979417483,2734,sens_lp0.200_ls0.480_rho0.0060,0.2,0.48,0.006
8.76609435372033,1.4021256727458935,0.15994873157517764,-0.06425332358181268,2734,sens_lp0.200_ls0.600_rho0.0040,0.2,0.6,0.004
8.765024614731919,1.4020089141178282,0.1599549317592771,-0.06426607789194605,2734,sens_lp0.200_ls0.600_rho0.0050,0.2,0.6,0.005
8.764169272574657,1.401966760158495,0.15996573281002344,-0.06428188440817584,2734,sens_lp0.200_ls0.600_rho0.0060,0.2,0.6,0.006
8.737820218926744,1.3959339340912558,0.15975768545426958,-0.06407729360649528,2734,sens_lp0.200_ls0.720_rho0.0040,0.2,0.72,0.004
8.73834374828918,1.3960675673640515,0.15976340683981194,-0.06408364436071379,2734,sens_lp0.200_ls0.720_rho0.0050,0.2,0.72,0.005
8.740117613459999,1.396464363590745,0.15977638120568938,-0.0640899833077061,2734,sens_lp0.200_ls0.720_rho0.0060,0.2,0.72,0.006
8.770736394857867,1.4096742967442055,0.16072473658775946,-0.06426311445805022,2734,sens_lp0.240_ls0.480_rho0.0040,0.24,0.48,0.004
8.770373733082126,1.409640733826542,0.16072755582915843,-0.06426830982113352,2734,sens_lp0.240_ls0.480_rho0.0050,0.24,0.48,0.005
8.770700372580704,1.4097546726842398,0.1607345608443618,-0.06427351733946252,2734,sens_lp0.240_ls0.480_rho0.0060,0.24,0.48,0.006
8.767320317813112,1.4055143485344173,0.16031287754808568,-0.06485350627162823,2734,sens_lp0.240_ls0.600_rho0.0040,0.24,0.6,0.004
8.767823523377228,1.405475129106518,0.16029920371448705,-0.06486950228321497,2734,sens_lp0.240_ls0.600_rho0.0050,0.24,0.6,0.005
8.768203297674868,1.4055717190094505,0.16030327665670993,-0.06488549296574841,2734,sens_lp0.240_ls0.600_rho0.0060,0.24,0.6,0.006
8.766094353720332,1.4021256727458937,0.15994873157517764,-0.06425332358181257,2734,sens_lp0.240_ls0.720_rho0.0040,0.24,0.72,0.004
8.76502461473192,1.4020089141178282,0.15995493175927708,-0.06426607789194594,2734,sens_lp0.240_ls0.720_rho0.0050,0.24,0.72,0.005
8.764169272574659,1.4019667601584953,0.15996573281002344,-0.06428188440817584,2734,sens_lp0.240_ls0.720_rho0.0060,0.24,0.72,0.006
