decile,n,mean_pit_pct,mean_next_return,std_next_return,sharpe_contrib
1,214,0.0,0.003483823363418676,0.008028014883158846,6.792521168568918
2,268,0.8351101634683724,0.0033295366335649025,0.0072549790868460876,7.1834103309930235
3,262,4.110626438870714,0.003451026449327973,0.008485437408602234,6.365860182430779
4,248,13.373655913978494,0.004168414215981888,0.009205323230632733,7.0878557094077435
5,247,32.97988561146456,0.004349413785575035,0.008327411729169391,8.175300612226819
6,246,60.938508194605745,0.006204634184878273,0.010393742073093815,9.34388077050285
7,250,80.3959972394755,0.006491260882677404,0.011627548841071632,8.73823929206558
8,239,91.80227599119308,0.006445657342132312,0.011594757854711129,8.701388774217127
9,220,97.79058218171619,0.006075260632459808,0.009637242483230956,9.867228146632552
10,287,99.75957180606922,0.008577042550201011,0.013319114401763773,10.079645482985347
