ticker,open_price,signal,weight,action,etf_amount,quantity
1617.T,46190.0,-0.017650899953345345,-0.3045769513859101,SELL,230950.0,5
1618.T,33490.0,-0.0008326999043689609,0.0,HOLD,0.0,0
1619.T,48360.0,0.004856161023576888,0.0,HOLD,0.0,0
1620.T,38450.0,0.003309713168131667,0.0,HOLD,0.0,0
1621.T,30210.0,-0.01635059485298329,-0.2847248217202067,SELL,241680.0,8
1622.T,34320.0,8.089435272173873e-05,0.0,HOLD,0.0,0
1623.T,71300.0,0.027857721686294745,0.3804460028393086,BUY,285200.0,4
1624.T,86920.0,0.005418651419777376,0.04643986813619715,BUY,0.0,0
1625.T,63190.0,0.022802819730667778,0.3052036579716839,BUY,252760.0,4
1626.T,43670.0,0.0036628212191800458,0.0,HOLD,0.0,0
1627.T,11645.0,-0.004648018307073842,-0.10605824035593514,SELL,93160.0,8
1628.T,20585.0,-0.004625672019183846,-0.10571707319092455,SELL,82340.0,4
1629.T,271.0,-0.0033668700475349977,0.0,HOLD,0.0,0
1630.T,36550.0,-0.010730610450443656,-0.19892291334702353,SELL,146200.0,4
1631.T,35220.0,0.013755377469331531,0.17053224856094507,BUY,176100.0,5
1632.T,39270.0,0.00884077213520551,0.09737822249186524,BUY,78540.0,2
1633.T,50860.0,0.00229874625635218,0.0,HOLD,0.0,0
