Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2015,7.07%,11.76%,14.78%,12.36%,11.11%,21.82%,22.33%,29.98%,35.68%,18.29%,19.17%,23.43%,684.17%
2016,39.94%,47.92%,21.28%,30.27%,21.63%,35.12%,17.86%,23.74%,14.68%,10.48%,21.38%,14.69%,1282.65%
2017,13.36%,17.17%,12.62%,8.42%,5.40%,9.98%,5.22%,1.36%,7.45%,9.54%,20.15%,8.84%,208.62%
2018,9.86%,13.58%,6.86%,4.36%,8.53%,7.08%,2.01%,1.32%,3.94%,8.98%,1.33%,9.39%,109.84%
2019,3.35%,-0.88%,2.41%,7.37%,8.29%,7.56%,9.03%,15.81%,6.81%,7.95%,9.28%,11.71%,133.20%
2020,7.79%,11.92%,22.80%,12.76%,13.76%,23.65%,15.86%,17.24%,8.88%,13.64%,8.14%,13.02%,382.72%
2021,17.34%,0.89%,17.59%,12.15%,14.51%,3.44%,6.30%,2.94%,10.44%,4.12%,9.32%,27.16%,223.49%
2022,17.42%,15.68%,12.74%,6.72%,9.11%,4.70%,8.89%,6.48%,4.07%,11.63%,9.88%,14.91%,217.52%
2023,5.51%,7.32%,7.90%,3.71%,1.66%,10.04%,3.46%,1.64%,4.24%,9.94%,5.25%,10.78%,99.16%
2024,12.51%,3.82%,23.98%,15.57%,8.98%,10.49%,13.48%,18.30%,8.41%,5.59%,1.64%,6.36%,234.83%
2025,10.17%,12.73%,19.04%,30.09%,12.10%,3.63%,1.71%,5.57%,7.89%,14.70%,5.84%,14.75%,260.53%
2026,13.70%,14.68%,23.41%,19.51%,3.40%,,,,,,,,98.84%
