sector,n_valid,coverage,error,status
0,1504,0.7539893617021277,-0.04601063829787233,GOOD
1,1504,0.7559840425531915,-0.04401595744680853,GOOD
2,1504,0.757313829787234,-0.042686170212765995,GOOD
3,1504,0.7606382978723404,-0.03936170212765966,GOOD
4,1504,0.754654255319149,-0.04534574468085106,GOOD
5,1504,0.7433510638297872,-0.05664893617021283,WARN
6,1504,0.7712765957446809,-0.028723404255319163,GOOD
7,1504,0.742686170212766,-0.057313829787234094,WARN
8,1504,0.7460106382978723,-0.05398936170212776,WARN
9,1504,0.7519946808510638,-0.04800531914893624,GOOD
10,1504,0.7613031914893617,-0.03869680851063839,GOOD
11,1504,0.7519946808510638,-0.04800531914893624,GOOD
12,1504,0.761968085106383,-0.038031914893617014,GOOD
13,1504,0.7752659574468085,-0.02473404255319156,GOOD
14,1504,0.730718085106383,-0.06928191489361701,WARN
15,1504,0.7486702127659575,-0.05132978723404258,WARN
16,1504,0.7446808510638298,-0.05531914893617029,WARN
