type,threshold,AR,RISK,R/R,Sharpe,MDD,Total Return
Baseline,0.0,1.4396819702319599,0.28677589085747385,5.020233625383364,5.020233625383364,-0.04867281412293012,3881329.3353040256
Raw Return Threshold,0.0005,1.439053058763788,0.2868634955270281,5.016508134365257,5.016508134365257,-0.048750286562263545,3855375.6136955665
Raw Return Threshold,0.001,1.437943595001343,0.28670855775736714,5.015349406550437,5.015349406550437,-0.049794982252121645,3813452.80382134
Raw Return Threshold,0.002,1.4406087293487477,0.28699876520308215,5.019564207286272,5.019564207286272,-0.048490353868365976,3916993.78455841
Raw Return Threshold,0.003,1.4385668667657927,0.2867893400589111,5.016109965838647,5.016109965838647,-0.049304687489720056,3836978.1435800088
Raw Return Threshold,0.005,1.4307573619415004,0.28472326543361276,5.025080615602526,5.025080615602527,-0.05464927266488884,3556896.1557258507
Raw Return Threshold,0.01,1.433512031737121,0.2932752769283367,4.887940254464091,4.887940254464091,-0.07112420806935915,3588460.110664251
Z-Score Threshold,0.1,1.4391717397913923,0.28681164637776263,5.017828801470092,5.017828801470091,-0.05011127199407561,3860618.5613319175
Z-Score Threshold,0.2,1.4353783708074122,0.28635821889986823,5.012527233623161,5.012527233623162,-0.050387868331912555,3717039.931405714
Z-Score Threshold,0.3,1.439891635281668,0.28580309218234035,5.038054782007142,5.0380547820071415,-0.050166804802670883,3899455.625726147
Z-Score Threshold,0.5,1.4299306741956739,0.285225811572963,5.013328444259282,5.013328444259282,-0.05725958958297095,3524902.433560302
Z-Score Threshold,0.8,1.4208985126477767,0.28796306625564255,4.934308177515923,4.934308177515924,-0.059878338449773416,3192215.6441985588
Z-Score Threshold,1.0,1.4108560109951922,0.2876981428818964,4.903945492530919,4.903945492530919,-0.06672482436311022,2880718.3014820325
